Area,Location description,Street Address,Cross Street,Originallistprice,Listpriceatsale,Closeprice,Close Date,Closemonth,Closeyear,DOM,Beds,Baths Total,Baths Full,Baths Half,Homesqft,Lotsqft,Garage,Garage Style,View,View Description
140, Carmel Woods,24410 S SAN LUIS Avenue,San Lucas," 1,500,000 "," 1,299,900 "," 1,225,000 ",1/22/15, 1.00 ,2015,114,3,3,3,0,2494,19477,--,--,Yes,Local/Neighborhood
140, Carmel Woods,24651 CABRILLO Street,Pico," 1,595,000 "," 1,325,000 "," 1,250,000 ",1/21/15, 1.00 ,2015,317,3,3,3,0,2504,10500,2,--,Yes,Local/Neighborhood
140, Carmel Woods,24515 San Luis Avenue,Highway 1," 1,394,000 "," 1,394,000 "," 1,394,000 ",9/16/15, 9.00 ,2015,5,3,3,3,--,1931,8100,1,--,--,--
140, Carmel Woods,24452 Portola Avenue,San Lucas," 1,495,000 "," 1,495,000 "," 1,430,000 ",10/7/15, 10.00 ,2015,139,3,2,2,--,2304,5800,2,"Electric Gate,Gate/Door Opener,Guest / Visitor Parking,On Street",Yes,Ocean
140, Carmel Woods,24460 S San Luis Avenue,--," 1,559,000 "," 1,559,000 "," 1,559,000 ",3/17/15, 3.00 ,2015,0,3,3,3,--,2400,13200,2,Off-Street Parking,Yes,"Bay,Ocean"
140, Carmel Woods,24479 San Juan Road,Pescadero," 1,795,000 "," 1,749,000 "," 1,600,000 ",5/8/15, 5.00 ,2015,80,3,2.1,2,1,2331,5805,1,"Guest / Visitor Parking,Off-Site Parking",--,--
140, Carmel Woods,24498 PESCADERO Road,Castro," 1,735,000 "," 1,735,000 "," 1,695,000 ",1/13/14, 1.00 ,2014,80,3,2,2,0,1775,6098,1,"Detached,Gate/Door Opener",Yes,Local/Neighborhood
140, Carmel Woods,24576 PORTOLA Avenue,Serra/Guadalupe," 1,798,000 "," 1,749,000 "," 1,700,000 ",8/7/14, 8.00 ,2014,92,3,2.1,2,1,1646,4100,1,Off-Street Parking,Yes,"Local/Neighborhood,Ocean"
140, Carmel Woods,24651 GUADALUPE Street,Serra," 1,995,000 "," 1,795,000 "," 1,725,000 ",12/13/13, 12.00 ,2013,158,3,2.1,2,1,2100,5377,--,"Gate/Door Opener,Off-Street Parking",Yes,Local/Neighborhood
140, Carmel Woods,24337 SAN JUAN Road,San Marcos," 1,950,000 "," 1,950,000 "," 1,800,000 ",7/2/14, 7.00 ,2014,4,3,2.1,2,1,2540,6800,1,Gate/Door Opener,--,--
140, Carmel Woods,24429 Portola Avenue,Serra," 2,095,000 "," 2,095,000 "," 2,095,000 ",7/16/15, 7.00 ,2015,48,4,3.1,3,1,2585,9148,1,--,Yes,"Forest/Woods,Ocean"
141, Northwest Carmel,0 MISSION & 4th SE Corner I,4th," 1,349,000 "," 1,297,000 "," 1,200,000 ",11/7/14, 11.00 ,2014,184,2,2.1,2,1,1390,770,--,"Gate/Door Opener,Guest / Visitor Parking",Yes,"Ocean,City Lights"
141, Northwest Carmel,0 Lopez Avenue,4th," 1,395,000 "," 1,395,000 "," 1,280,000 ",12/5/13, 12.00 ,2013,10,2,2.1,2,1,2116,4300,1,Off-Street Parking,--,--
141, Northwest Carmel,0 Casanova 5 SE of 4th Street,--," 1,495,000 "," 1,295,000 "," 1,284,000 ",10/14/15, 10.00 ,2015,91,2,2,2,--,1360,3751,1,--,Yes,Ocean
141, Northwest Carmel,24844 DOLORES Street,First," 1,495,000 "," 1,495,000 "," 1,440,000 ",4/22/14, 4.00 ,2014,103,3,2,2,0,1908,8000,2,--,Yes,"Local/Neighborhood,Ocean"
141, Northwest Carmel,24770 PESCADERO Road,1st Ave," 1,495,000 "," 1,495,000 "," 1,450,000 ",5/1/14, 5.00 ,2014,85,3,2,2,0,2679,11100,2,Detached,Yes,Garden/Greenbelt
141, Northwest Carmel,0 NE LINCOLN Street,2nd," 1,699,000 "," 1,649,000 "," 1,499,000 ",10/3/14, 10.00 ,2014,157,3,2,2,0,1652,4000,1,--,Yes,"Local/Neighborhood,Ocean"
141, Northwest Carmel,0 San Carlos 3 NW 2nd,2nd," 1,648,000 "," 1,599,000 "," 1,500,000 ",9/18/15, 9.00 ,2015,71,3,2.1,2,1,1620,4000,1,"Gate/Door Opener,Off-Street Parking",Yes,Other
141, Northwest Carmel,3038 ALTA Avenue,Camino del Monte," 1,895,000 "," 1,695,000 "," 1,575,000 ",2/5/15, 2.00 ,2015,130,3,2,2,0,2000,16000,2,"Detached,Off-Street Parking",--,--
141, Northwest Carmel,0 Monte Verde & 4th Avenue,4th Avenue," 1,695,000 "," 1,695,000 "," 1,600,000 ",6/1/15, 6.00 ,2015,11,3,2,2,--,1625,4000,1,"Guest / Visitor Parking,Off-Street Parking,On Street",Yes,Forest/Woods
141, Northwest Carmel,0 San Carlos ST NE of Vista,Vista," 1,850,000 "," 1,699,000 "," 1,600,000 ",2/14/14, 2.00 ,2014,135,3,2,2,0,1951,4000,1,Gate/Door Opener,Yes,Ocean
141, Northwest Carmel,0 San Carlos & Vista,Vista," 1,750,000 "," 1,750,000 "," 1,625,000 ",12/16/14, 12.00 ,2014,43,3,2,2,0,1647,4000,--,--,Yes,Ocean
141, Northwest Carmel,8 NE LOPEZ & 4th Avenue,4th," 1,795,000 "," 1,795,000 "," 1,650,000 ",3/20/14, 3.00 ,2014,39,3,2,2,0,1479,4000,1,"Detached,Gate/Door Opener",Yes,Local/Neighborhood
141, Northwest Carmel,0 CASANOVA 3 SE of 4th Street,4th," 1,950,000 "," 1,765,000 "," 1,675,000 ",4/8/14, 4.00 ,2014,192,3,2,2,0,1250,4000,1,--,Yes,Ocean
141, Northwest Carmel,0 NW Corner SAN CARLOS & 2nd Avenue,2nd," 1,995,000 "," 1,850,000 "," 1,800,000 ",10/30/14, 10.00 ,2014,173,3,2.1,2,1,1741,4647,1,Off-Street Parking,Yes,Ocean
141, Northwest Carmel,0 SAN CARLOS 4NW of 1st Avenue,First," 1,845,000 "," 1,845,000 "," 1,800,000 ",5/23/14, 5.00 ,2014,17,3,2,2,0,1521,4000,--,"Gate/Door Opener,Off-Street Parking",Yes,"Local/Neighborhood,Ocean"
141, Northwest Carmel,0 Dolores 4 NW of 2nd,2nd," 1,895,000 "," 1,895,000 "," 1,807,500 ",5/12/15, 5.00 ,2015,86,3,2.1,2,1,1641,4000,1,"Gate/Door Opener,Guest / Visitor Parking,Off-Street Parking",Yes,Ocean
141, Northwest Carmel,0 CASANOVA 2 SE of 4th,4th," 1,995,000 "," 1,995,000 "," 1,847,500 ",1/5/15, 1.00 ,2015,90,3,2,2,0,1693,4000,1,--,--,--
141, Northwest Carmel,0 Casanova 3 NW of Ocean Street,Ocean Avenue," 1,895,000 "," 1,895,000 "," 1,850,000 ",4/21/15, 4.00 ,2015,24,4,2.1,2,1,2732,4300,1,"Guest / Visitor Parking,Off-Street Parking",Yes,Ocean
141, Northwest Carmel,0 Casanova 2 NW of Ocean Avenue,--," 1,995,000 "," 1,995,000 "," 1,850,000 ",6/23/15, 6.00 ,2015,28,4,3,3,--,1737,4800,1,"Gate/Door Opener,Off-Street Parking,On Street",Yes,Ocean
141, Northwest Carmel,24956 Lincoln Street,First," 1,985,000 "," 1,985,000 "," 1,871,950 ",6/11/15, 6.00 ,2015,74,3,2.1,2,1,2270,6920,1,--,Yes,"Canyon,Ocean"
141, Northwest Carmel,0 LINCOLN 2 SE of 2nd,Second," 2,099,000 "," 2,099,000 "," 1,900,000 ",10/9/14, 10.00 ,2014,9,3,2,2,0,1622,4000,1,"Detached,Gate/Door Opener,Off-Street Parking",Yes,"Bay,Ocean"
141, Northwest Carmel,0 MONTE VERDE 5 NE of 5th Avenue,5th," 1,995,000 "," 1,995,000 "," 1,900,000 ",3/28/14, 3.00 ,2014,20,3,3,3,0,1778,5100,1,"Gate/Door Opener,Off-Street Parking",Yes,Local/Neighborhood
141, Northwest Carmel,0 LINCOLN & 5TH NW CORNER,Lincoln," 2,245,000 "," 1,950,000 "," 1,900,000 ",4/29/14, 4.00 ,2014,172,3,2,2,0,1593,4000,1,Gate/Door Opener,Yes,"Bay,Local/Neighborhood,Ocean,City Lights"
